Name,Team,Position(s),MP,Box Offense,Box Defense,Box Total,OnOff Offense,OnOff Defense,OnOff Total,RAPTOR Offense,RAPTOR Defense,RAPTOR Total,RAPTOR WAR
Marcus Morris Sr.,Clippers,"PF, C",386,-0.2,-1.8,-2.0,+1.9,-4.9,-2.9,+0.3,-2.6,-2.3,0.1
Isaiah Stewart,Pistons,C,647,-3.2,+1.4,-1.8,-5.7,+1.1,-4.6,-3.9,+1.5,-2.4,0.1
Russell Westbrook,Lakers,"PG, SG","1,049",-0.3,-1.9,-2.1,-3.8,-0.5,-4.2,-1.0,-1.7,-2.6,0.1
Ayo Dosunmu,Bulls,SG,447,-0.6,-1.9,-2.5,-2.9,+0.7,-2.2,-1.1,-1.5,-2.6,0.0
Josh Jackson,Pistons,"SG, SF",417,-0.9,-1.5,-2.4,+1.3,-5.5,-4.2,-0.4,-2.4,-2.8,0.0
Kelan Martin,Pacers,SF,405,-1.3,-0.6,-2.0,-1.9,-2.0,-3.9,-1.6,-1.0,-2.6,0.0
Cam Reddish,Hawks,SF,543,-0.7,-0.1,-0.8,-8.5,-1.0,-9.5,-2.5,-0.3,-2.7,0.0
Garrett Temple,Pelicans,"SG, SF",517,-1.4,+1.5,+0.1,-7.7,-6.6,-14.3,-2.8,0.0,-2.9,0.0
OG Anunoby,Raptors,SF,560,-0.3,-2.4,-2.7,+0.8,-5.0,-4.2,-0.1,-3.1,-3.2,-0.1
Kyle Kuzma,Wizards,"SF, PF",913,-2.8,+0.2,-2.6,-0.1,-3.4,-3.5,-2.4,-0.5,-2.9,-0.1
Svi Mykhailiuk,Raptors,"SG, SF",501,-1.1,-1.2,-2.3,-3.1,-2.4,-5.5,-1.6,-1.5,-3.1,-0.1
Mason Plumlee,Hornets,C,545,-2.1,-1.1,-3.2,-6.2,+3.6,-2.6,-3.1,-0.1,-3.2,-0.1
Reggie Bullock,Mavericks,"SG, SF",646,-3.5,-1.2,-4.7,-1.8,+5.1,+3.2,-3.4,0.0,-3.3,-0.2
Talen Horton-Tucker,Lakers,SF,432,-3.1,-1.2,-4.3,-0.8,-0.1,-0.9,-2.8,-1.1,-3.9,-0.2
Trey Lyles,Pistons,PF,444,-1.4,-2.7,-4.1,+3.6,-4.9,-1.3,-0.4,-3.3,-3.6,-0.2
Eric Bledsoe,Clippers,"PG, SG",766,-1.9,-0.1,-1.9,-4.3,-4.8,-9.1,-2.4,-1.1,-3.5,-0.3
Facundo Campazzo,Nuggets,PG,547,+0.1,-0.6,-0.5,-8.1,-9.1,-17.2,-1.6,-2.4,-4.0,-0.3
Cade Cunningham,Pistons,PG,708,-3.1,-1.5,-4.6,+1.1,0.0,+1.1,-2.2,-1.3,-3.5,-0.3
Evan Fournier,Knicks,"SG, SF",815,-0.4,-2.2,-2.6,-1.1,-4.3,-5.4,-0.6,-2.8,-3.4,-0.3
Josh Giddey,Thunder,SG,747,-2.3,-0.9,-3.2,-3.1,-2.9,-6.0,-2.5,-1.4,-3.8,-0.4
Eric Gordon,Rockets,"SG, SF",717,-1.3,-3.4,-4.8,+1.0,-0.4,+0.6,-0.9,-2.9,-3.8,-0.4
Joe Harris,Nets,"SG, SF",423,-2.4,-2.1,-4.6,-3.3,-0.8,-4.1,-2.8,-2.0,-4.8,-0.4
Tobias Harris,76ers,"SF, PF",720,0.0,-3.1,-3.0,-2.1,-4.2,-6.3,-0.4,-3.5,-3.9,-0.4
Aleksej Pokusevski,Thunder,PF,386,-4.7,-0.1,-4.8,-6.8,+3.9,-2.9,-5.3,+0.8,-4.5,-0.4
Dwight Powell,Mavericks,"PF, C",536,-2.3,-0.7,-2.9,-6.8,-1.7,-8.5,-3.3,-1.0,-4.3,-0.4
Avery Bradley,Lakers,"PG, SG",599,-2.9,-1.4,-4.3,-3.9,+0.7,-3.2,-3.3,-1.0,-4.3,-0.5
Killian Hayes,Pistons,"PG, SG",566,-3.9,-0.4,-4.2,-2.3,-2.0,-4.3,-3.7,-0.7,-4.4,-0.5
Jordan Nwora,Bucks,"SF, PF",410,-3.5,-1.7,-5.2,-4.4,+1.3,-3.1,-3.9,-1.2,-5.1,-0.5
Daniel Theis,Rockets,C,457,-4.9,+2.3,-2.6,-12.4,-0.5,-12.8,-6.7,+1.9,-4.8,-0.5
R.J. Hampton,Magic,"PG, SG",536,-2.0,-1.6,-3.5,-8.1,-2.3,-10.4,-3.3,-1.8,-5.0,-0.6
De'Aaron Fox,Kings,PG,993,+0.7,-3.0,-2.2,+1.0,-11.3,-10.2,+0.8,-4.8,-4.0,-0.7
Naz Reid,Timberwolves,C,415,-2.3,-1.6,-3.9,-8.6,-3.4,-12.1,-3.7,-2.2,-5.9,-0.7
Malik Beasley,Timberwolves,"SG, SF",718,-0.7,-2.6,-3.3,-5.0,-4.9,-9.9,-1.6,-3.2,-4.8,-0.8
Gary Harris,Magic,SG,579,-2.3,-2.9,-5.3,-2.2,-4.5,-6.7,-2.4,-3.4,-5.8,-0.9
Doug McDermott,Spurs,"SF, PF",499,-0.2,-5.7,-5.9,0.0,-7.2,-7.2,-0.1,-6.4,-6.5,-1.0
Jeremiah Robinson-Earl,Thunder,PF,590,-3.7,-2.7,-6.4,-3.8,-0.4,-4.2,-3.8,-2.3,-6.2,-1.0
Terrence Ross,Magic,"SG, SF",715,+0.1,-3.5,-3.4,-5.9,-8.8,-14.7,-1.1,-4.8,-5.8,-1.1
Saddiq Bey,Pistons,"SF, PF",860,-1.8,-2.7,-4.4,-3.5,-5.2,-8.6,-2.1,-3.3,-5.4,-1.2
Jeff Green,Nuggets,PF,701,-2.8,-2.9,-5.7,0.0,-6.1,-6.1,-2.3,-3.8,-6.1,-1.2
Chuma Okeke,Magic,PF,488,-4.1,-2.6,-6.7,-8.6,-2.0,-10.6,-5.2,-2.6,-7.8,-1.3
Darius Bazley,Thunder,"SF, PF",740,-5.2,-0.7,-5.8,-0.3,-9.4,-9.7,-4.4,-2.5,-6.9,-1.6
Julius Randle,Knicks,PF,"1,022",-1.4,-2.4,-3.8,-8.1,-7.2,-15.3,-2.9,-3.5,-6.4,-1.9
Jalen Green,Rockets,SG,555,-4.0,-3.4,-7.3,-11.5,-5.6,-17.1,-5.7,-3.9,-9.7,-2.0
